row,column,cor,p,significance
flower,flower,NA,NA,NA
flower,w_2,0.07206085163355215,0.21330141207495612,
flower,w_3,0.07234310952144106,0.21150925111664365,
flower,w_4,-0.024565367483365023,0.6717318487233157,
flower,w_5,-0.05866886160548544,0.31115334255383775,
flower,shoot_w,0.3296778478916317,4.8943087360697746e-9,***
flower,root_w,-0.1717455653457044,0.00284034109498732,**
w_2,flower,0.09816477487383694,0.08964614180236108,
w_2,w_2,NA,NA,NA
w_2,w_3,0.6024925930821857,0,***
w_2,w_4,0.5163102416172578,0,***
w_2,w_5,0.5060614045990146,0,***
w_2,shoot_w,0.3588890552001239,1.5054713031759093e-10,***
w_2,root_w,0.306908031093439,5.792295487694332e-8,***
w_3,flower,0.05116404016996871,0.37720053718883406,
w_3,w_2,0.9423150556765251,0,***
w_3,w_3,NA,NA,NA
w_3,w_4,0.8006641451998039,0,***
w_3,w_5,0.6629076580111454,0,***
w_3,shoot_w,0.731158155289918,0,***
w_3,root_w,0.5195446010815017,0,***
w_4,flower,0.003136546843774389,0.9568555544687694,
w_4,w_2,0.8501241546126144,0,***
w_4,w_3,0.9524147584823075,0,***
w_4,w_4,NA,NA,NA
w_4,w_5,0.8811502756363704,0,***
w_4,shoot_w,0.7040624895552506,0,***
w_4,root_w,0.5057194726398381,0,***
w_5,flower,-0.033631488342097955,0.5617481775842084,
w_5,w_2,0.7606166006826306,0,***
w_5,w_3,0.886961969795369,0,***
w_5,w_4,0.963572007353825,0,***
w_5,w_5,NA,NA,NA
w_5,shoot_w,0.6230297634543545,0,***
w_5,root_w,0.417735470164839,4.241051954068098e-14,***
shoot_w,flower,0.08721936740068159,0.13174637767613984,
shoot_w,w_2,0.8033104137233853,0,***
shoot_w,w_3,0.8804784413886952,0,***
shoot_w,w_4,0.9080842575072554,0,***
shoot_w,w_5,0.8939485123572094,0,***
shoot_w,shoot_w,NA,NA,NA
shoot_w,root_w,0.4683925822213149,0,***
root_w,flower,0.0011565618765598848,0.9840843614530421,
root_w,w_2,0.7095892418934544,0,***
root_w,w_3,0.7348882087517151,0,***
root_w,w_4,0.7475372450663461,0,***
root_w,w_5,0.6993498888685882,0,***
root_w,shoot_w,0.7898383167123104,0,***
root_w,root_w,NA,NA,NA
